image,clip_score,lpips_score,clip_iqa
after_seen_1.png,0.2965587377548218,0.5213651657104492,0.16757063567638397
after_seen_2.png,0.2519279718399048,0.6992762684822083,0.20487549901008606
after_seen_3.png,0.2917543649673462,0.6218029260635376,0.46758386492729187
after_seen_4.png,0.28130847215652466,0.5830172300338745,0.7908989191055298
after_seen_5.png,0.24629329144954681,0.36110225319862366,0.2240070402622223
after_seen_6.png,0.28732284903526306,0.3255234360694885,0.2754356563091278
after_seen_7.png,0.30514585971832275,0.5007244944572449,0.9454770684242249
after_seen_8.png,0.3084815740585327,0.46370935440063477,0.8630657196044922
after_seen_9.png,0.3165758550167084,0.4056164026260376,0.15450352430343628
after_seen_10.png,0.31974801421165466,0.30197811126708984,0.750216543674469
after_unseen_1.png,0.34449923038482666,0.4750077426433563,0.1746886670589447
after_unseen_2.png,0.22827209532260895,0.32386529445648193,0.23709636926651
after_unseen_3.png,0.2867394983768463,0.42774277925491333,0.09794105589389801
after_unseen_4.png,0.3726811707019806,0.7104578018188477,0.9036867022514343
after_unseen_5.png,0.28496819734573364,0.5087652206420898,0.4557293951511383
after_unseen_6.png,0.3507845997810364,0.3890073299407959,0.11358708888292313
after_unseen_7.png,0.3161327838897705,0.47004127502441406,0.7697475552558899
after_unseen_8.png,0.27445274591445923,0.5385765433311462,0.6500759720802307
after_unseen_9.png,0.35074809193611145,0.5757449269294739,0.3403468728065491
after_unseen_10.png,0.33549124002456665,0.3596845865249634,0.5059100985527039
after_unseen_11.png,0.30483174324035645,0.5968835353851318,0.33133140206336975
after_unseen_12.png,0.3624298870563507,0.5266396999359131,0.43730244040489197
after_unseen_13.png,0.3089415431022644,0.41894006729125977,0.12857791781425476
after_unseen_14.png,0.27026796340942383,0.41162049770355225,0.40289586782455444
after_unseen_15.png,0.3568851351737976,0.6670916080474854,0.7440288066864014
after_unseen_16.png,0.2787435054779053,0.3979702591896057,0.4196321666240692
after_unseen_17.png,0.33078455924987793,0.685495138168335,0.6747084856033325
after_unseen_18.png,0.35472309589385986,0.5007302761077881,0.5712677836418152
after_unseen_19.png,0.2765999436378479,0.4762181341648102,0.35104596614837646
after_unseen_20.png,0.3377591073513031,0.5914756059646606,0.7878862619400024
after_unseen_21.png,0.30971795320510864,0.5830503106117249,0.641506552696228
after_unseen_22.png,0.32712221145629883,0.6453961133956909,0.3551971912384033
after_unseen_23.png,0.3118855953216553,0.7334887981414795,0.19782011210918427
after_unseen_24.png,0.33069413900375366,0.640563428401947,0.9353972673416138
after_unseen_25.png,0.27605268359184265,0.45599931478500366,0.09110691398382187
after_unseen_26.png,0.3023545742034912,0.43226057291030884,0.17766506969928741
after_unseen_27.png,0.3535315990447998,0.5949125289916992,0.4840961992740631
after_unseen_28.png,0.33188819885253906,0.6686068773269653,0.8258540034294128
after_unseen_29.png,0.34010186791419983,0.6278090476989746,0.7406125068664551
after_unseen_30.png,0.33845844864845276,0.4924995005130768,0.5054261684417725
after_unseen_31.png,0.2901197373867035,0.5907968282699585,0.1255171000957489
after_unseen_32.png,0.3126184344291687,0.5243866443634033,0.7333828806877136
after_unseen_33.png,0.2655453383922577,0.5225361585617065,0.215534508228302
after_unseen_34.png,0.33194154500961304,0.6740584969520569,0.5712280869483948
after_unseen_35.png,0.3347516655921936,0.5005670189857483,0.6530076265335083
after_unseen_36.png,0.3173452913761139,0.5685326457023621,0.33180445432662964
after_unseen_37.png,0.30941101908683777,0.7317291498184204,0.8305814862251282
after_unseen_38.png,0.3030521869659424,0.33395805954933167,0.4388575255870819
after_unseen_39.png,0.31917649507522583,0.7623562812805176,0.722445547580719
after_unseen_40.png,0.31951600313186646,0.3682894706726074,0.32163432240486145
after_unseen_41.png,0.26912423968315125,0.39252859354019165,0.2822193503379822
after_unseen_42.png,0.32084059715270996,0.5056682825088501,0.4298103153705597
after_unseen_43.png,0.27354708313941956,0.39767539501190186,0.3243854343891144
after_unseen_44.png,0.3395836353302002,0.3717476725578308,0.3509816825389862
after_unseen_45.png,0.32696619629859924,0.7102720737457275,0.6008042693138123
after_unseen_46.png,0.3640271723270416,0.7136081457138062,0.5321283340454102
after_unseen_47.png,0.29264554381370544,0.5852847099304199,0.750022828578949
after_unseen_48.png,0.3412632346153259,0.6661968231201172,0.9289117455482483
after_unseen_49.png,0.34493744373321533,0.5949203372001648,0.8140923380851746
after_unseen_50.png,0.30084747076034546,0.39131438732147217,0.24417780339717865
