Model / Epoch,CLIPScore,LPIPS,CLIP-IQA,Style Alignment
Z-Image (Baseline),0.692,0.315,0.712,24%
Z-Image (Epoch 4 LoRA),0.814,0.162,0.748,89%
SDXL (Baseline),0.678,0.342,0.654,18%
SDXL (Epoch 1 LoRA),0.765,0.218,0.689,74%
FLUX.1-dev (Baseline),0.741,0.284,0.812,35%
FLUX.1-dev (Epoch 1 LoRA),0.852,0.114,0.895,96%
