image,clip_score,lpips_score,clip_iqa
after_seen_1.png,0.3130848705768585,0.5277169942855835,0.4895935654640198
after_seen_2.png,0.3522073030471802,0.4831589162349701,0.7777215242385864
after_seen_3.png,0.30183321237564087,0.586904764175415,0.6814295649528503
after_seen_4.png,0.31111976504325867,0.5467353463172913,0.7599474191665649
after_seen_5.png,0.31851691007614136,0.5586866736412048,0.7550413012504578
after_seen_6.png,0.31567659974098206,0.6131378412246704,0.7457988858222961
after_seen_7.png,0.3089253604412079,0.5390875339508057,0.8115896582603455
after_seen_8.png,0.2563527524471283,0.5008434653282166,0.8830162882804871
after_seen_9.png,0.3598964214324951,0.45699912309646606,0.6719269156455994
after_seen_10.png,0.33574339747428894,0.37029609084129333,0.7051604390144348
after_unseen_1.png,0.35696181654930115,0.5683850049972534,0.5012297630310059
after_unseen_2.png,0.2944221794605255,0.6370354294776917,0.49291515350341797
after_unseen_3.png,0.36962950229644775,0.5326868295669556,0.6885277032852173
after_unseen_4.png,0.310348242521286,0.6899499893188477,0.5651422142982483
after_unseen_5.png,0.24844498932361603,0.6368094682693481,0.586082398891449
after_unseen_6.png,0.3265269994735718,0.5103709697723389,0.7788836359977722
after_unseen_7.png,0.24982677400112152,0.7039021253585815,0.7951633334159851
after_unseen_8.png,0.3084581792354584,0.6315566301345825,0.5563435554504395
after_unseen_9.png,0.27927130460739136,0.5144411325454712,0.4870733916759491
after_unseen_10.png,0.28770411014556885,0.5475236177444458,0.7120015025138855
